                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.446,                 2.2618,                 1.1708,                 1.5016,                  2.468,                 1.1678,                0.52758,                0.63974,                  0.617,                0.34747,                 1.6065,                 1.3667,                 1.2617,                 1.5606,                 1.3912,                 1.2512,               0.070023,              0.0033308,              0.0033308
                      2,                  1.367,                 1.1853,                 1.1456,                  1.453,                 1.2355,                 1.1631,                 0.7087,                0.68493,                0.76798,                0.53752,                 1.0649,                 1.1354,                 1.0386,                 1.1096,                 1.1338,                 1.0587,               0.039693,              0.0063343,              0.0063343
                      3,                 1.3305,                0.92348,                 1.1247,                 1.4132,                0.94991,                 1.1371,                0.96476,                0.97515,                0.99161,                0.68708,                 1.1359,                0.51233,                 1.0293,                 1.1841,                0.38043,                  1.047,              0.0090329,              0.0090077,              0.0090077
                      4,                 1.3055,                0.79751,                 1.1113,                 1.3771,                0.81904,                 1.1202,                0.94872,                0.95819,                 0.9889,                0.62467,                 1.4169,                0.54162,                 1.1383,                 1.4245,                0.42298,                 1.1412,               0.008515,               0.008515,               0.008515
                      5,                 1.2881,                0.73664,                 1.1036,                 1.3568,                0.74136,                 1.1118,                0.97996,                0.98259,                0.99361,                 0.6595,                 1.2831,                0.46393,                 1.0805,                 1.2886,                 0.3462,                 1.0833,               0.008515,               0.008515,               0.008515
                      6,                 1.2796,                0.69069,                 1.0974,                 1.3455,                 0.6881,                 1.1052,                0.99247,                0.99603,                0.99492,                0.63781,                 1.3562,                0.44508,                 1.1034,                 1.3713,                0.32201,                 1.1109,                0.00802,                0.00802,                0.00802
                      7,                 1.2607,                0.66501,                 1.0879,                 1.3225,                0.65696,                 1.0951,                0.99372,                0.99463,                 0.9949,                0.63707,                 1.3358,                0.44064,                 1.0849,                 1.3574,                0.32411,                 1.0966,               0.007525,               0.007525,               0.007525
                      8,                 1.2478,                0.63741,                 1.0818,                 1.3072,                0.62503,                 1.0883,                0.99388,                0.99473,                0.99496,                0.67568,                 1.2006,                0.41702,                 1.0465,                 1.2266,                0.29592,                 1.0585,                0.00703,                0.00703,                0.00703
                      9,                 1.2358,                 0.6219,                 1.0736,                 1.2927,                0.60308,                   1.08,                0.99648,                0.99596,                0.99499,                0.75138,                0.94775,                0.36954,                0.95443,                0.97647,                0.24365,                 0.9671,               0.006535,               0.006535,               0.006535
                     10,                  1.229,                0.60551,                 1.0678,                 1.2841,                0.58338,                 1.0744,                0.99571,                0.99466,                0.99494,                0.70065,                 1.1281,                0.38558,                 1.0131,                 1.1419,                0.27495,                 1.0221,                0.00604,                0.00604,                0.00604
                     11,                 1.1881,                0.49058,                 1.1183,                 1.2131,                0.38543,                 1.1209,                0.99703,                0.99696,                0.99499,                0.72407,                 1.0472,                0.36235,                0.98256,                 1.0507,                0.24875,                0.98574,               0.005545,               0.005545,               0.005545
                     12,                 1.1706,                0.47014,                 1.1116,                 1.1939,                  0.367,                 1.1129,                0.99795,                0.99697,                0.99499,                0.74669,                0.97311,                0.34728,                  0.962,                0.99831,                0.23881,                0.97097,                0.00505,                0.00505,                0.00505
                     13,                 1.1611,                 0.4545,                 1.1056,                 1.1825,                0.35561,                 1.1068,                0.99709,                 0.9975,                  0.995,                0.75182,                0.97721,                0.34079,                0.95873,                0.98996,                0.23609,                0.96426,               0.004555,               0.004555,               0.004555
                     14,                 1.1561,                0.44624,                 1.1011,                 1.1761,                0.35082,                 1.1014,                0.99799,                 0.9972,                0.99499,                0.78101,                0.87423,                0.32482,                0.92682,                0.88909,                0.21747,                0.93414,                0.00406,                0.00406,                0.00406
                     15,                 1.1481,                0.43812,                  1.098,                 1.1672,                0.34055,                 1.0982,                0.99722,                0.99886,                  0.995,                0.79084,                0.83243,                0.31856,                0.91565,                0.85455,                 0.2112,                0.92422,               0.003565,               0.003565,               0.003565
                     16,                 1.1427,                0.43055,                 1.0951,                  1.162,                0.33563,                 1.0956,                0.99797,                0.99715,                0.99495,                0.79303,                0.84644,                0.31526,                0.91771,                0.85688,                0.21104,                0.92162,                0.00307,                0.00307,                0.00307
                     17,                 1.1376,                0.42354,                 1.0904,                 1.1561,                0.33083,                 1.0905,                0.99814,                0.99777,                  0.995,                0.80037,                0.82977,                0.30801,                0.91446,                0.83347,                0.20698,                0.91676,               0.002575,               0.002575,               0.002575
                     18,                 1.1297,                0.41308,                 1.0875,                  1.148,                0.32111,                 1.0875,                0.99846,                0.99887,                  0.995,                0.79055,                0.85779,                0.30778,                 0.9189,                0.86834,                 0.2099,                0.92381,                0.00208,                0.00208,                0.00208
                     19,                 1.1259,                0.40549,                 1.0815,                 1.1428,                0.31665,                 1.0816,                0.99805,                0.99802,                  0.995,                0.78939,                0.87149,                0.30956,                0.91975,                0.87805,                0.21234,                0.92126,               0.001585,               0.001585,               0.001585
                     20,                 1.1207,                0.39765,                   1.08,                 1.1366,                0.31081,                 1.0798,                0.99805,                0.99899,                  0.995,                0.80241,                0.81845,                0.29825,                0.90264,                0.83171,                0.20296,                0.90599,                0.00109,                0.00109,                0.00109
