                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4443,                 2.3967,                 1.1491,                 0.5044,                0.73391,                0.68694,                0.40509,                 1.4061,                 1.5602,                 1.1489,               0.070042,              0.0033286,              0.0033286
                      2,                 1.3704,                 1.2043,                 1.1431,                0.86077,                0.88878,                0.96233,                0.54663,                 1.5138,                0.90125,                 1.1986,               0.039713,              0.0063322,              0.0063322
                      3,                 1.3487,                0.98581,                  1.129,                0.91774,                0.94705,                0.98375,                0.65149,                 1.2709,                0.68628,                 1.0909,              0.0090529,              0.0090058,              0.0090058
                      4,                 1.3265,                0.86934,                 1.1176,                0.97229,                0.97906,                0.99172,                0.71386,                 1.0821,                0.54219,                 1.0227,               0.008515,               0.008515,               0.008515
                      5,                 1.3065,                0.79499,                 1.1076,                0.98243,                 0.9878,                0.99355,                 0.6248,                 1.4046,                0.55702,                 1.1274,               0.008515,               0.008515,               0.008515
                      6,                 1.2901,                0.73217,                 1.0974,                0.99472,                0.99577,                0.99492,                0.70411,                 1.1321,                0.47158,                  1.026,                0.00802,                0.00802,                0.00802
                      7,                 1.2712,                0.69856,                 1.0897,                0.99376,                0.99692,                0.99472,                0.65212,                 1.3283,                0.48982,                 1.0941,               0.007525,               0.007525,               0.007525
                      8,                 1.2627,                0.67549,                 1.0835,                0.99585,                0.99802,                0.99492,                0.72641,                 1.0626,                 0.4376,                0.98986,                0.00703,                0.00703,                0.00703
                      9,                 1.2469,                0.64966,                 1.0774,                0.99669,                0.99888,                0.99498,                0.70086,                 1.1606,                0.43472,                 1.0249,               0.006535,               0.006535,               0.006535
                     10,                 1.2366,                  0.632,                 1.0704,                0.99755,                0.99944,                0.99499,                0.73551,                  1.053,                0.41398,                0.98808,                0.00604,                0.00604,                0.00604
                     11,                 1.2069,                0.52489,                 1.1272,                0.99779,                0.99936,                  0.995,                0.73703,                 1.0546,                0.40119,                0.98822,               0.005545,               0.005545,               0.005545
                     12,                 1.1947,                0.50488,                 1.1219,                0.99759,                0.99885,                0.99493,                0.72759,                 1.0957,                0.40351,                 1.0006,                0.00505,                0.00505,                0.00505
                     13,                 1.1862,                0.49069,                 1.1179,                0.99779,                0.99963,                0.99499,                0.74224,                 1.0406,                0.38403,                0.98371,               0.004555,               0.004555,               0.004555
                     14,                 1.1776,                0.48018,                 1.1121,                0.99822,                0.99981,                0.99498,                0.75245,                 1.0127,                0.37364,                0.97365,                0.00406,                0.00406,                0.00406
                     15,                 1.1706,                0.46789,                 1.1088,                0.99888,                      1,                  0.995,                0.76759,                0.96186,                  0.362,                0.95513,               0.003565,               0.003565,               0.003565
                     16,                 1.1627,                0.45887,                 1.1064,                0.99878,                0.99984,                  0.995,                0.75775,                 1.0063,                 0.3642,                0.96968,                0.00307,                0.00307,                0.00307
                     17,                 1.1582,                0.44986,                 1.1019,                0.99874,                0.99992,                  0.995,                0.78548,                 0.9053,                0.34501,                0.93794,               0.002575,               0.002575,               0.002575
                     18,                 1.1524,                0.44086,                 1.0979,                 0.9987,                0.99987,                0.99498,                0.78767,                0.89981,                0.33953,                0.93321,                0.00208,                0.00208,                0.00208
                     19,                 1.1463,                0.43226,                 1.0925,                0.99898,                0.99996,                  0.995,                0.79423,                0.88266,                0.33334,                0.92688,               0.001585,               0.001585,               0.001585
                     20,                 1.1405,                0.42427,                 1.0913,                0.99908,                0.99988,                  0.995,                0.79585,                0.88195,                0.33116,                0.92811,                0.00109,                0.00109,                0.00109
