                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4373,                  2.322,                 1.1559,                 0.5131,                0.62308,                0.61032,                0.36284,                 1.4365,                 1.6149,                 1.1817,               0.070038,              0.0033291,              0.0033291
                      2,                 1.3579,                 1.1243,                 1.1383,                0.87665,                0.85989,                 0.9387,                0.69484,                0.97188,                0.75504,                 1.0018,               0.039708,              0.0063326,              0.0063326
                      3,                  1.339,                0.92687,                 1.1282,                0.94443,                0.95093,                0.98626,                0.65321,                 1.2657,                0.62408,                 1.0841,              0.0090486,              0.0090062,              0.0090062
                      4,                 1.3102,                0.80045,                 1.1125,                0.96555,                0.97852,                  0.993,                 0.6254,                 1.4141,                0.56467,                 1.1358,               0.008515,               0.008515,               0.008515
                      5,                 1.2914,                0.73243,                 1.1038,                0.98845,                0.99459,                0.99475,                0.66547,                 1.2972,                0.48444,                 1.0839,               0.008515,               0.008515,               0.008515
                      6,                  1.275,                0.68518,                  1.095,                0.99565,                0.99775,                0.99489,                0.65979,                 1.2995,                0.47657,                  1.085,                0.00802,                0.00802,                0.00802
                      7,                 1.2635,                0.65722,                 1.0892,                0.99575,                0.99804,                 0.9947,                0.70399,                 1.1639,                 0.4281,                 1.0293,               0.007525,               0.007525,               0.007525
                      8,                 1.2513,                0.63291,                 1.0817,                0.99694,                0.99934,                0.99499,                0.71967,                 1.1159,                0.40497,                  1.009,                0.00703,                0.00703,                0.00703
                      9,                 1.2406,                0.61414,                  1.077,                0.99753,                0.99963,                  0.995,                0.71222,                 1.1394,                0.40114,                 1.0178,               0.006535,               0.006535,               0.006535
                     10,                 1.2251,                0.59711,                 1.0709,                0.99833,                0.99952,                  0.995,                0.71957,                 1.1237,                0.39471,                 1.0165,                0.00604,                0.00604,                0.00604
                     11,                 1.1947,                0.49114,                 1.1233,                0.99821,                0.99931,                  0.995,                0.75567,                0.98549,                0.36969,                0.96491,               0.005545,               0.005545,               0.005545
                     12,                 1.1843,                 0.4755,                 1.1206,                0.99882,                0.99997,                0.99499,                0.74704,                 1.0242,                0.36655,                0.97291,                0.00505,                0.00505,                0.00505
                     13,                 1.1763,                0.46364,                 1.1152,                0.99864,                0.99975,                  0.995,                0.77065,                 0.9404,                 0.3509,                0.95191,               0.004555,               0.004555,               0.004555
                     14,                 1.1688,                0.45185,                 1.1094,                0.99878,                0.99996,                  0.995,                0.79052,                0.88286,                0.34061,                0.93379,                0.00406,                0.00406,                0.00406
                     15,                 1.1605,                0.44187,                 1.1061,                0.99895,                      1,                  0.995,                0.78494,                0.90416,                0.33383,                 0.9393,               0.003565,               0.003565,               0.003565
                     16,                 1.1536,                0.43194,                 1.1034,                0.99889,                0.99995,                  0.995,                0.78615,                0.91015,                0.32937,                0.93723,                0.00307,                0.00307,                0.00307
                     17,                 1.1476,                0.42558,                 1.0986,                0.99909,                      1,                  0.995,                0.79181,                0.88195,                0.32526,                0.93269,               0.002575,               0.002575,               0.002575
                     18,                 1.1426,                0.41662,                 1.0958,                0.99912,                0.99996,                  0.995,                0.80216,                0.85958,                0.31864,                0.92181,                0.00208,                0.00208,                0.00208
                     19,                 1.1359,                0.40847,                 1.0898,                0.99921,                      1,                  0.995,                0.80174,                0.86862,                 0.3179,                 0.9248,               0.001585,               0.001585,               0.001585
                     20,                 1.1314,                0.40214,                 1.0881,                0.99925,                      1,                  0.995,                0.80405,                0.86258,                0.31238,                0.91995,                0.00109,                0.00109,                0.00109
